fire_date,area_ha_effis,commune_field,in_feniceverde_sif_catasto,note
2020-10-17 10:15:00,36,San Mauro Castelverde,False,"not found in Fenice Verde's SIF catasto (2024-only coverage - fires before 2024 are out of that layer's scope by design, not a detection gap)"
2020-10-21 11:48:00,10,San Mauro Castelverde,False,"not found in Fenice Verde's SIF catasto (2024-only coverage - fires before 2024 are out of that layer's scope by design, not a detection gap)"
2021-08-04 11:21:00,9778,San Mauro Castelverde,False,"not found in Fenice Verde's SIF catasto (2024-only coverage - fires before 2024 are out of that layer's scope by design, not a detection gap)"
2021-02-05 10:54:00,5,Tusa,False,"not found in Fenice Verde's SIF catasto (2024-only coverage - fires before 2024 are out of that layer's scope by design, not a detection gap)"
2021-03-01 01:12:00,4,San Mauro Castelverde,False,"not found in Fenice Verde's SIF catasto (2024-only coverage - fires before 2024 are out of that layer's scope by design, not a detection gap)"
2022-11-09 12:50:00,11,San Mauro Castelverde,False,"not found in Fenice Verde's SIF catasto (2024-only coverage - fires before 2024 are out of that layer's scope by design, not a detection gap)"
2022-07-12 11:10:00,22,Tusa,False,"not found in Fenice Verde's SIF catasto (2024-only coverage - fires before 2024 are out of that layer's scope by design, not a detection gap)"
2023-02-24 00:00:00,9,San Mauro Castelverde,False,"not found in Fenice Verde's SIF catasto (2024-only coverage - fires before 2024 are out of that layer's scope by design, not a detection gap)"
2023-09-21 12:25:00,145,Tusa,False,"not found in Fenice Verde's SIF catasto (2024-only coverage - fires before 2024 are out of that layer's scope by design, not a detection gap)"
2023-11-07 11:51:00,5,San Mauro Castelverde,False,"not found in Fenice Verde's SIF catasto (2024-only coverage - fires before 2024 are out of that layer's scope by design, not a detection gap)"
2024-01-03 11:34:00,2,San Mauro Castelverde,False,"not found in Fenice Verde's SIF catasto (2024-only coverage - fires before 2024 are out of that layer's scope by design, not a detection gap)"
2024-02-07 00:58:00,3,San Mauro Castelverde,False,"not found in Fenice Verde's SIF catasto (2024-only coverage - fires before 2024 are out of that layer's scope by design, not a detection gap)"
2024-10-08 12:17:00,10,San Mauro Castelverde,True,"matches SIF record 'Contrada Buonanotte' (2024-10-08, 0d apart)"
2024-10-08 12:17:00,3,San Mauro Castelverde,True,"matches SIF record 'Contrada Buonanotte' (2024-10-08, 0d apart)"
